exp_number,method,batch_size_prop,batch_size,time,e_train_mae,e_train_rmse,e_train_rsq,f_train_mae,f_train_rmse,f_train_rsq,f_train_mean_cos,e_test_mae,e_test_rmse,e_test_rsq,f_test_mae,f_test_rmse,f_test_rsq,f_test_mean_cos
1,simple_random_sample,0.16,3456,0.000317367,0.0019303994469018883,0.002467212642905589,0.996476504985252,0.13321924723348105,0.18127518476274493,0.9752354710394909,0.9739474637678497,0.02491756465111162,0.11349534875156819,0.15099840922048058,1.2570427128632238,20.699506778073623,-0.0049666337071909705,0.8693435167005042
1,kmeans_sample,0.16,3456,66.891878092,0.0034904369299661965,0.0045017435416016514,0.9880304548640755,0.25938454771605696,0.3560212545658341,0.9103050912654891,0.9180940058832041,0.05164610730844335,0.2289521682271331,0.031138323910914756,2.1177602432780005,28.122152697988646,-0.002098307756554396,0.7391430569497984
1,cur_sample,0.16,3456,17414.15648445,0.0038754772079346157,0.004934032296351866,0.9855312267071292,0.24508243706578406,0.3345058123385404,0.9350393087787516,0.9340589622185459,0.020139788247426283,0.043375256343537914,0.3354170907039862,0.648394396279042,5.0410944083997995,0.02343805918133779,0.8513526056981269
1,simple_random_sample,0.32,6912,0.000297902,0.010772863771748116,0.014347405826015226,0.8933950476775274,0.7005870826436039,1.0070137142869344,0.5573488392828114,0.6973990178312545,0.09553747749734141,0.5533144808115537,0.0022976569230327426,3.3589011714688026,47.27517329922969,0.0017955283320062465,0.5365552504001042
1,kmeans_sample,0.32,6912,53.307741109,0.0034757941127250293,0.004573884516907902,0.9878030792438036,0.2276803732599524,0.3220959946940558,0.9249791331818801,0.9351364830598713,0.03419681493055225,0.12153914327701591,0.0005452422317434591,1.264748563552983,13.303516705277689,0.012746022182597017,0.814343128549989
1,cur_sample,0.32,6912,6337.803185325,0.04588608267989783,0.05855221052178344,0.3193950264554388,2.888258348187784,4.136618951910604,0.08119097738999548,0.26000910638883207,0.23099865746673964,0.5878626115387424,-0.004886269668740395,6.345566759665762,42.87437563824806,0.0010650448164226667,0.18495555556601292
1,simple_random_sample,0.64,13824,0.053685708,0.002179083685161768,0.002837414910664474,0.995279389069613,0.12977586426208157,0.1873527004687416,0.9732849432018056,0.9767268069058741,0.010339313869951922,0.022739853082627794,0.7682127890531968,0.3640371496298163,2.6024812008931186,0.15371421893820603,0.9200799959310991
1,kmeans_sample,0.64,13824,37.112714417,0.0022286226806129436,0.0029236312866818574,0.9949980846000676,0.13815614938390103,0.19808041039047541,0.9703560818452935,0.9731657324402245,0.014333398709546528,0.04633075144313918,0.4984656015327783,0.5296275506653091,5.531759662107677,0.025563707175905392,0.9087923028800338
1,cur_sample,0.64,13824,4220.566008787,0.008639428235666432,0.01134099072851078,0.9279681045726027,0.534504620586525,0.7884670975435505,0.6910849477854736,0.790023201528077,0.038533836019350974,0.10192132952740302,0.17764884699409977,1.4542029258308553,12.592475720079182,0.0024348046106856813,0.6807368520355799
1,simple_random_sample,0.99,21384,0.006711723,0.0022462945822584843,0.0029368493319892656,0.9949656951544068,0.1317010453396873,0.1933021332429697,0.9716196831253746,0.9761489685721452,0.012844909343982849,0.02725557230400636,0.6341507210659179,0.3487482872922635,2.1174744006211927,0.2210232855760461,0.9269952945217237
1,kmeans_sample,0.99,21384,27.863766449,0.004895183997575762,0.006461199789972808,0.9759923906250744,0.3151692832418453,0.46821852816973936,0.8538078618791388,0.8946737547199943,0.028869254837142734,0.09556081473588993,0.10574304831620873,1.2438361990902669,15.681954829691088,0.014081636110709783,0.7788292442154019
