exp_number,method,batch_size_prop,batch_size,time,e_train_mae,e_train_rmse,e_train_rsq,f_train_mae,f_train_rmse,f_train_rsq,f_train_mean_cos,e_test_mae,e_test_rmse,e_test_rsq,f_test_mae,f_test_rmse,f_test_rsq,f_test_mean_cos
1,lrdpp_sample,0.08,2160,44.421339774,0.038503713996825936,0.04895473946283272,0.42649510361098375,3.017204181262977,4.035064818828765,0.07323439112781838,0.231017099875646,605.5821973247209,605.5961253024144,-21737.631551515013,34.97515601114612,466.6144924878654,2.926008166415084e-5,0.10848890239538603
1,lsdpp_sample,0.08,2160,0.091141861,0.0019311677356796287,0.0024860837951722627,0.9963234210952154,0.15348845510690987,0.20395033549140526,0.9686842126640424,0.9650772372039904,605.4583523469112,605.4583675561619,-1.960834764358981e7,1.7135711014082775,17.34588102257152,0.0069004198567141906,0.8238418087474063
1,dpp_sample,0.08,2160,21.415653072,0.00369324683815692,0.004692292235234364,0.9873799960754597,0.29677478537941204,0.39707197916176185,0.8906138651384691,0.8974331859583564,605.4434119756016,605.4434788513296,-4.431321380677938e6,3.4291533907827514,53.79495849399437,0.0021217171944726276,0.6838216005870953
1,lrdpp_sample,0.16,4320,109.536592389,0.004900532351669373,0.0063358946110576315,0.9761486912327155,0.33590662168145097,0.4668781243407495,0.8558291813701331,0.8791173915364773,605.4653369481179,605.465396211147,-5.080985196735056e6,2.27844550139547,36.059513874474874,0.0026881134430187803,0.7117680006411407
1,lsdpp_sample,0.16,4320,0.062614747,0.007941731413472557,0.010253716440136161,0.9412395523112257,0.5816985812817962,0.8179584084011517,0.657933960489717,0.7533251402180272,605.489148436711,605.4892134099706,-4.757272745194335e6,4.418430603198189,65.33963348600305,-0.0004184609478232737,0.5634674909721443
1,dpp_sample,0.16,4320,90.594943822,0.0019883579546824686,0.0025245417175839223,0.9962617081407964,0.13207566710709928,0.18141470720420347,0.9749462824434093,0.9744943998495412,605.4487554707806,605.4487622742431,-3.86737006359811e7,0.8841983205962771,10.999755319885072,0.010668768417686936,0.892134560335449
1,lrdpp_sample,0.32,8640,431.220158206,0.0025164037767699482,0.003265449334652386,0.9937564735426646,0.15893251331918587,0.22615328686629568,0.9615492759263045,0.9651899819883234,605.4521665309228,605.452168345025,-9.451689107093114e7,0.5998842387241203,6.3873067372804915,0.04321897838988398,0.8923522861088736
1,lsdpp_sample,0.32,8640,0.111331845,0.004918614329792269,0.006459642047934912,0.9755706102464122,0.3055024092871651,0.44384157819791054,0.8666748897606436,0.8968987709765169,605.456999755288,605.4570077356262,-3.5178763636405416e7,1.2038415257834243,7.745296908593489,0.014397058930106232,0.7703504853596844
1,dpp_sample,0.32,8640,359.766077191,0.004482891191690138,0.006025615094437162,0.9787342902588729,0.28400481147152956,0.40998656467977557,0.8840237995113844,0.9101182850321684,605.4584741360342,605.4584793424896,-4.703884423587664e7,1.209767625302964,12.317482944300956,0.01606151942855316,0.7952955100263932
1,lrdpp_sample,0.64,17280,1458.918655131,0.003341592475956714,0.004439619136678982,0.9883884165128705,0.2038638427649877,0.30478904704309223,0.9324742771834393,0.9473319853623023,605.4531331817474,605.4531339214177,-1.8584921641227487e8,0.5208377203550968,2.703120014573817,0.15835247500528737,0.8708812623835447
1,lsdpp_sample,0.64,17280,0.00358464,0.0021077576496090033,0.0027437676175842145,0.995578408023305,0.12326549124076416,0.17838283257393991,0.9757388453641376,0.9782434432032804,605.4492199118898,605.4492201514773,-1.7402184051829222e8,0.2660078091924787,1.2485517879289267,0.45356468004356465,0.935320819199142
1,dpp_sample,0.64,17280,1499.052741753,0.0031486042615490673,0.004151602788508669,0.9898529222228859,0.1927235952245139,0.2860586064160779,0.939891157017742,0.9524459948146184,605.4520134535112,605.4520143936988,-1.681057461002502e8,0.553942841139601,5.0074235188103495,0.024323370348797724,0.8751193238229013
2,lrdpp_sample,0.08,2160,37.786999957,0.0027710736330512505,0.0035211117525104406,0.992538098870993,0.22484553275180358,0.30010768486700057,0.9348652634191408,0.9333243890581513,605.4579417214893,605.4579667864265,-1.1486233947551904e7,2.524742274970724,31.800916651483533,0.004725095117928069,0.745322161350599
2,lsdpp_sample,0.08,2160,0.035204057,0.005686835781964393,0.007308603003000106,0.968878713564401,0.453179210363808,0.6060014588683112,0.7779487909202566,0.809757887961226,605.4843542050542,605.4846407951801,-1.05475701517137e6,5.248146721775689,76.09618188392301,1.6895211374379215e-7,0.5670129758266411
2,dpp_sample,0.08,2160,19.278162423,0.0014210938502800534,0.0017854794955055907,0.9980190164639418,0.11241061452833344,0.14896764496013074,0.9830576875526231,0.9802355730919466,605.4575443917988,605.4575504841323,-4.295053422216559e7,0.8850788354910872,10.813362436567644,0.011780134549879917,0.8704282377108562
2,lrdpp_sample,0.16,4320,112.849209946,0.002014972377812202,0.0025906373482481614,0.996084210309123,0.1367216450354649,0.18837235336883518,0.9728156006358237,0.9727066056188337,605.4550197403867,605.4550225601812,-7.275438038407896e7,0.6940060571885882,8.153881901368424,0.02546204253287343,0.8917663194335205
2,lsdpp_sample,0.16,4320,0.019124959,0.0019041691769840386,0.0024474779127230425,0.9965265327009758,0.13007894129965478,0.1786603145514434,0.9755789702856541,0.9756834060119804,605.4518496225312,605.4518527127526,-6.982791783030295e7,0.8061551727077206,11.65794365360982,0.008021480031542016,0.8922929016718995
